Wall time,Step,Value
1534743940.806286,29996,0.20062574744224548
1534743941.269235,30006,0.20058563351631165
1534743946.487278,30172,0.19992350041866302
1534743948.606425,30240,0.19965431094169617
1534743949.733275,30276,0.19951215386390686
1534743950.877878,30312,0.1993699073791504
1534743955.158962,30449,0.19883231818675995
1534743955.442148,30458,0.19879715144634247
1534743960.024828,30603,0.1982317715883255
1534743960.629916,30622,0.19815807044506073
1534743968.11612,30860,0.19723734259605408
1534743973.446445,31027,0.19659729301929474
1534743977.372597,31152,0.1961226612329483
1534743979.015571,31204,0.19592514634132385
1534743979.658265,31223,0.19585296511650085
1534743982.333005,31308,0.19553013145923615
1534743982.954984,31328,0.19545452296733856
1534743991.129437,31588,0.1944766640663147
1534743993.728658,31670,0.19417186081409454
1534744000.569628,31888,0.19336722791194916
1534744002.709938,31955,0.19312120974063873
1534744003.303204,31974,0.1930515468120575
1534744013.008578,32280,0.1919228583574295
1534744014.225515,32319,0.19177912175655365
1534744015.567492,32361,0.19162479043006897
1534744026.395351,32705,0.19035741686820984
1534744035.500484,32991,0.18932409584522247
1534744037.244199,33044,0.18913543224334717
1534744039.027909,33101,0.18893276154994965
1534744039.851065,33127,0.18884064257144928
1534744041.09212,33167,0.1886989176273346
1534744045.288249,33299,0.188231959939003
1534744045.944877,33320,0.18815754354000092
1534744046.606247,33341,0.18808303773403168
1534744050.301718,33459,0.18766367435455322
1534744055.850313,33635,0.18704010546207428
1534744062.532449,33848,0.18629318475723267
1534744064.556651,33912,0.18606968224048615
1534744068.127865,34023,0.18568167090415955
1534744074.305124,34219,0.18500292301177979
1534744075.076943,34243,0.18492023646831512
1534744077.851335,34331,0.1846175342798233
1534744078.486049,34351,0.18454842269420624
1534744083.739599,34518,0.1839733123779297
1534744089.997992,34717,0.18329273164272308
1534744095.243809,34884,0.18273089826107025
1534744104.172377,35163,0.18180370330810547
1534744105.566864,35207,0.18165920674800873
1534744108.271818,35293,0.18137727677822113
1534744108.795477,35310,0.18132126331329346
1534744110.136682,35353,0.18118004500865936
1534744110.612651,35368,0.18113084137439728
1534744112.088267,35415,0.18097715079784393
1534744116.976372,35570,0.18046946823596954
1534744118.876931,35630,0.18027420341968536
1534744119.633773,35654,0.18019649386405945
1534744120.110835,35669,0.18014784157276154
1534744127.706433,35909,0.17937614023685455
1534744128.264165,35927,0.17931877076625824
1534744135.432903,36152,0.17861095070838928
1534744135.648784,36159,0.17858898639678955
1534744141.903576,36357,0.17797252535820007
1534744142.061247,36362,0.17795705795288086
1534744143.184127,36398,0.17784567177295685
1534744146.419123,36501,0.17752796411514282
1534744147.873079,36547,0.17738646268844604
1534744154.258316,36748,0.17676611244678497
1534744155.794406,36797,0.176615372300148
1534744159.229664,36906,0.176280215382576
1534744160.175371,36936,0.17618833482265472
1534744162.615782,37011,0.17595931887626648
1534744167.903886,37179,0.17544814944267273
1534744169.128899,37218,0.17532901465892792
1534744169.189907,37220,0.17532283067703247
1534744176.548185,37454,0.17460991442203522
1534744186.8827,37781,0.17362937331199646
1534744188.781232,37841,0.1734515130519867
1534744196.144877,38073,0.17276495695114136
1534744196.207057,38075,0.17275917530059814
1534744197.775737,38125,0.1726115643978119
1534744201.66563,38248,0.1722501516342163
1534744203.884187,38319,0.17204312980175018
1534744206.284507,38395,0.17182320356369019
1534744207.418889,38431,0.17171984910964966
1534744211.519681,38562,0.1713438630104065
1534744212.37602,38589,0.17126667499542236
1534744213.129875,38613,0.1711980104446411
1534744215.177551,38678,0.17101190984249115
1534744220.223771,38838,0.17055653035640717
1534744234.574661,39290,0.16927605867385864
1534744235.648187,39324,0.16918091475963593
1534744237.191333,39373,0.1690438836812973
1534744239.812153,39456,0.16881310939788818
1534744240.390409,39474,0.16876330971717834
1534744242.617468,39545,0.16856761276721954
1534744245.1789,39626,0.16834615170955658
1534744250.500208,39791,0.16789546608924866
1534744250.597394,39794,0.16788727045059204
1534744253.704901,39888,0.16763105988502502
1534744253.734733,39889,0.16762828826904297
1534744256.088426,39963,0.16742774844169617
1534744263.156422,40181,0.16684430837631226
1534744267.6017,40322,0.16647060215473175
1534744267.887958,40331,0.16644686460494995
1534744277.728305,40644,0.16562362015247345
1534744283.061129,40813,0.16518205404281616
1534744283.999828,40843,0.16510418057441711
1534744285.617136,40895,0.1649697870016098
1534744288.851422,40997,0.1647057682275772
1534744289.100049,41002,0.16469287872314453
1534744290.416134,41044,0.1645844578742981
1534744298.739216,41309,0.1639031022787094
1534744301.624082,41401,0.16366851329803467
1534744305.386466,41520,0.16336590051651
1534744308.056316,41605,0.16315066814422607
1534744322.100153,42050,0.16203351318836212
1534744330.79268,42327,0.1613512933254242
1534744332.8058,42391,0.1611960232257843
1534744335.266767,42466,0.16101446747779846
1534744336.2704,42493,0.16094903647899628
1534744337.556286,42532,0.1608549952507019
1534744340.089565,42613,0.16065938770771027
1534744341.13515,42646,0.16058027744293213
1534744344.950928,42768,0.1602882593870163
1534744352.481678,43004,0.1597302258014679
1534744356.190148,43122,0.159451425075531
1534744357.732731,43171,0.15933598577976227
1534744358.483792,43195,0.15927985310554504
1534744359.2377,43219,0.15922385454177856
1534744362.347023,43319,0.15899114310741425
1534744367.452789,43481,0.15861602127552032
1534744367.763535,43491,0.15859295427799225
1534744369.405675,43544,0.15847019851207733
1534744371.005026,43595,0.15835265815258026
1534744371.755927,43619,0.15829749405384064
1534744372.159625,43632,0.15826775133609772
1534744376.184168,43761,0.15797309577465057
1534744377.297528,43796,0.15789352357387543
1534744377.57568,43805,0.15787310898303986
1534744377.852109,43814,0.15785272419452667
1534744378.897151,43848,0.15777568519115448
1534744381.005613,43915,0.1576240360736847
1534744382.937308,43977,0.15748386085033417
1534744384.344769,44019,0.15738891065120697
1534744384.888833,44036,0.15735065937042236
1534744387.964212,44133,0.15713253617286682
1534744389.381284,44178,0.15703195333480835
1534744389.475201,44181,0.15702518820762634
1534744396.049723,44391,0.15655569732189178
1534744396.46963,44404,0.15652664005756378
1534744401.803571,44573,0.15615089237689972
1534744405.532376,44692,0.1558879315853119
1534744408.2562,44778,0.1556977778673172
1534744416.208827,45027,0.1551465094089508
1534744418.063977,45085,0.15501822531223297
1534744424.150316,45279,0.15459123253822327
1534744425.672715,45327,0.1544860452413559
